Date, Open, High, Low, Close, Volume
07/12/24, 901120, 901120, 901120, 901120, 21
07/11/24, 901120, 901120, 901120, 901120, 37
07/10/24, 901080, 901080, 901080, 901080, 60
07/09/24, 920800, 920800, 901040, 901040, 36
07/08/24, 926580, 926580, 926580, 926580, 24
07/05/24, 919800, 919800, 919800, 919800, 39
07/04/24, 913000, 913000, 913000, 913000, 14
07/03/24, 913000, 913000, 913000, 913000, 29
07/02/24, 913000, 913000, 913000, 913000, 93
06/28/24, 888400, 888400, 888400, 888400, 411
06/27/24, 887000, 887000, 887000, 887000, 139
06/26/24, 887000, 887000, 887000, 887000, 56
06/25/24, 859780, 859780, 859780, 859780, 11
06/24/24, 859780, 859780, 859780, 859780, 20
06/21/24, 870020, 870020, 870020, 870020, 54
06/20/24, 873020, 873020, 870020, 870020, 98
06/19/24, 873020, 873020, 873020, 873020, 26
06/18/24, 871000, 873020, 871000, 873020, 84
06/17/24, 900000, 900000, 851120, 851120, 78
06/14/24, 899980, 899980, 899980, 899980, 57
06/13/24, 881800, 881800, 860020, 880000, 364
06/12/24, 849980, 850020, 820020, 850020, 271
06/11/24, 787400, 814000, 787400, 800080, 1315
06/07/24, 770000, 776000, 760020, 776000, 241
06/06/24, 736100, 736100, 736100, 736100, 31
06/05/24, 736100, 736100, 736100, 736100, 79
06/04/24, 745000, 755600, 745000, 755600, 217
05/31/24, 735000, 735000, 700240, 700240, 57
05/30/24, 736760, 736760, 736760, 736760, 35
05/29/24, 736760, 736760, 736760, 736760, 50
05/28/24, 736760, 736760, 736760, 736760, 20
05/27/24, 736760, 736760, 736760, 736760, 13
05/24/24, 729000, 729000, 729000, 729000, 32
05/23/24, 700020, 734980, 700020, 729000, 65
05/22/24, 728020, 728040, 728020, 728040, 369
05/21/24, 730000, 730000, 730000, 730000, 47
05/20/24, 727640, 727640, 727640, 727640, 25
05/17/24, 717500, 717500, 717500, 717500, 33
05/16/24, 715020, 715020, 715020, 715020, 80
05/15/24, 724200, 728000, 724200, 728000, 235
05/14/24, 724300, 724300, 724300, 724300, 27
05/10/24, 708520, 708520, 708520, 708520, 44
05/09/24, 705020, 716000, 705020, 716000, 90
05/08/24, 716000, 716000, 716000, 716000, 33
05/07/24, 716000, 716000, 716000, 716000, 23
05/06/24, 716000, 716000, 716000, 716000, 51
05/03/24, 704000, 727000, 700000, 720000, 1794
05/02/24, 690000, 731140, 688980, 688980, 171
04/30/24, 676000, 676000, 676000, 676000, 28
04/29/24, 664680, 664680, 664680, 664680, 186
04/26/24, 658000, 658000, 658000, 658000, 12
04/25/24, 658000, 658000, 658000, 658000, 103
04/24/24, 649620, 649620, 649620, 649620, 23
04/23/24, 649620, 649620, 649620, 649620, 37
04/22/24, 653540, 653540, 649620, 649620, 64
04/19/24, 658500, 658500, 658500, 658500, 40
04/18/24, 658500, 658500, 658500, 658500, 30
04/17/24, 658500, 658500, 658500, 658500, 187
04/16/24, 674600, 674600, 669160, 669160, 74
04/15/24, 682360, 682360, 682360, 682360, 42
04/12/24, 689980, 689980, 677220, 680160, 340
04/11/24, 650200, 665200, 650200, 665200, 192
04/10/24, 638680, 638680, 638680, 638680, 17
